model__hidden_units,model__learning_rate,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_pr_auc,cv_std_pr_auc,cv_mean_brier_score,cv_std_brier_score,cv_mean_log_loss,cv_std_log_loss
"(64, 32)",0.0005,0.5742929818453915,0.1612180404210561,0.8807877851561947,0.12995421831111895,0.6666847803817261,0.07935078690163304,0.7087088077344825,0.09829323480494045,0.6686102775481333,0.11998650103612532,0.25027498304843904,0.05627594408855634,0.7143783390522003,0.13436391451175983
"(64, 32)",0.001,0.5750928586571334,0.15494294782653498,0.8835650413427653,0.13140907780794409,0.6696990750863836,0.07473235862737061,0.7175345654605949,0.09210540280739699,0.6818692739785334,0.10542197881829188,0.24970147311687468,0.053188934281063804,0.7146084070205688,0.1295655000791448
"(64, 32, 16, 8)",0.001,0.5902594657757156,0.13786041216773223,0.8450605388716461,0.12399342194726608,0.6744828399900843,0.06673843194933897,0.7167298244854223,0.09536246770631931,0.6953108702911409,0.0786422676566655,0.24442509114742278,0.05196923838663112,0.7162396907806396,0.14356153050148246
"(16, 8)",0.01,0.5650710588369423,0.15025746419475564,0.858434769636645,0.12465701686699579,0.6582243481715886,0.07568508614590626,0.7113363779869089,0.07991454173923533,0.6766964036744784,0.08210056340869659,0.2506702721118927,0.04206276382414668,0.7190235733985901,0.09714396260620185
"(32, 16)",0.005,0.5721013945606871,0.13523018853477892,0.8054475672839206,0.16000893674466607,0.6489403336028039,0.08655574353810987,0.7086287404383448,0.08888494319440512,0.6797198526878908,0.09386927808278984,0.2485414743423462,0.04423307087386973,0.7200839042663574,0.10734709877695858
"(64, 32, 16)",0.005,0.5932115152993847,0.14082698947747815,0.8687016740578131,0.12877060153863062,0.6818256465675286,0.06653298897924467,0.7259186873346912,0.09647542232794674,0.7024280507659283,0.065933492373177,0.24271993041038514,0.051607745061721444,0.7333577990531921,0.17524238399412284
"(64, 32, 16, 8)",0.0005,0.5918683048864178,0.14059550276076058,0.8328456793111029,0.1395360553568772,0.668953228293278,0.06803605326136647,0.7177686489382529,0.08898196969637143,0.6981138765900298,0.08180057629682401,0.24851943254470826,0.055075295394526866,0.7344094455242157,0.16417974978913538
"(16, 8)",0.005,0.5649006412087645,0.1509178338674865,0.8259219158855746,0.14057242389748364,0.6469619745989226,0.08218851092186447,0.7102863232681706,0.10057429904200738,0.6760671166040686,0.09890746919733458,0.25593973100185397,0.05201775372360081,0.7507865250110626,0.14091757105417146
"(64, 32, 16)",0.01,0.6122903705690549,0.12818674448749773,0.8056936510098707,0.16222821381883978,0.6744755900622075,0.07909914782925365,0.7256075717544406,0.10579768074068553,0.7113656968725153,0.07918707272166502,0.2437175393104553,0.06032083917417594,0.7586021602153779,0.25692925120754057
"(64, 32)",0.01,0.5905740186124806,0.13734792748398886,0.8467714339245405,0.14312805782610236,0.6733282702568999,0.06910387606815398,0.7301628606139079,0.0847891098030665,0.7067496928265375,0.07705725588347032,0.25130862295627593,0.057933092133249625,0.7622596502304078,0.21105904554709193
"(32, 16, 8)",0.005,0.5548962511644746,0.15504286695538338,0.9051165146909828,0.16243883923231756,0.6552539205759305,0.06675342416884775,0.6994668122901335,0.09218957614149381,0.6585860178461773,0.09658717742900882,0.27015000879764556,0.05394631327146936,0.7765223622322083,0.1294747259212455
"(32, 16, 8)",0.01,0.565169702062972,0.14875062110988288,0.8994020259760973,0.13748514862780906,0.6668328815477766,0.0633833599652183,0.6898596644756303,0.12016232594421514,0.6749732053069173,0.09778691899881906,0.264778071641922,0.059615813907179266,0.8016000330448151,0.21078374528698465
"(32, 16, 8)",0.0005,0.5447587735141477,0.15604382957069118,0.9177777777777777,0.16444444444444445,0.6497617376942273,0.07444407336413277,0.6767419743741238,0.10666306470097767,0.6400915936534839,0.11771226560054548,0.28155395686626433,0.059409439011851285,0.8026053786277771,0.15436306126142593
"(32, 16, 8)",0.001,0.5438030625584367,0.15438928109445343,0.9188888888888889,0.16222222222222224,0.6501670313253275,0.07463394414175194,0.6755701914889994,0.11426685640467599,0.6392723316733242,0.11993399124975936,0.2824470102787018,0.05979930006045783,0.8056431293487549,0.1561740155840946
