modelo,metrica,cv_mean,cv_std,test
logistic_regression,precision,0.6237298914092377,0.12491609152462757,0.6402877697841727
logistic_regression,recall,0.8454201323158917,0.12485999515701919,0.5881057268722467
logistic_regression,f1,0.7013729432024121,0.06764134753692985,0.6130884041331802
logistic_regression,roc_auc,0.7875460804384272,0.06568676931943417,0.7985131533549681
logistic_regression,pr_auc,0.7416937619260688,0.053308639216733254,0.5665794500306441
logistic_regression,brier_score,0.20792533996111634,0.03652233808437858,0.1800990676769988
logistic_regression,log_loss,0.6045008156303215,0.08559816060095826,0.5869731879503294
neural_network,precision,0.5887121601275018,0.15371863873228966,0.6778042959427207
neural_network,recall,0.8162529830900611,0.14758337571457758,0.6255506607929515
neural_network,f1,0.6569497032820119,0.07164016472395013,0.6506300114547537
neural_network,roc_auc,0.730418169406459,0.07074041951753321,0.8249923745043428
neural_network,pr_auc,0.7067335842126787,0.08602235141710282,0.6575021529551636
neural_network,brier_score,0.2339920461177826,0.047049970489704704,0.16031254827976227
neural_network,log_loss,0.6692987978458405,0.10774540551524782,0.49676769971847534
