model__C,model__penalty,model__l1_ratio,cv_mean_precision,cv_std_precision,cv_mean_recall,cv_std_recall,cv_mean_f1,cv_std_f1,cv_mean_roc_auc,cv_std_roc_auc,cv_mean_pr_auc,cv_std_pr_auc,cv_mean_brier_score,cv_std_brier_score,cv_mean_log_loss,cv_std_log_loss
0.1,l1,,0.6237298914092377,0.12491609152462757,0.8454201323158917,0.12485999515701919,0.7013729432024121,0.06764134753692985,0.7875460804384272,0.06568676931943417,0.7416937619260688,0.053308639216733254,0.20792533996111634,0.03652233808437858,0.6045008156303215,0.08559816060095826
0.1,elasticnet,0.85,0.6269384529489226,0.1221769727565057,0.8480182523922164,0.12315374427115651,0.7046855653307267,0.06358974738167712,0.7869370553572632,0.06627815596025136,0.740322062034747,0.054063791812392695,0.20805999101832814,0.03683480957329728,0.6054894410210595,0.08703290069472865
0.05,l1,,0.6117941820397184,0.12612535873051225,0.8589160199722345,0.12462039925564777,0.6968634099321347,0.06521646490757244,0.7885487515096744,0.06101236883879274,0.743671579800122,0.0552715584446006,0.21072527755717183,0.03639574966539841,0.6079313763960238,0.08259571286015988
0.1,elasticnet,0.5,0.6277488804020377,0.11964999621312974,0.8387419278507586,0.12932128315524483,0.7020547956769313,0.06392033119625334,0.7812362637802776,0.07273814514566163,0.7381273803141799,0.05572738562061292,0.20933987901207315,0.03829276422301954,0.610793597017216,0.09331907277482454
0.5,l1,,0.629243451115628,0.11005665415011047,0.8234323545841404,0.14533856593589634,0.6980464143558953,0.06720970449745667,0.7742547364371932,0.08033622537032512,0.7224731398418057,0.0673875631659596,0.21025345669154255,0.04050104924395596,0.6183456030757819,0.10720501792906136
0.1,elasticnet,0.15,0.6264433220658031,0.11495752633479232,0.8214805254346752,0.14783064295233667,0.6946825684545219,0.07052818091191597,0.7751858398459188,0.07889082391073335,0.7334230902519389,0.06012366607155577,0.21117420168213735,0.040309948173770455,0.6184787890423264,0.10304029130021208
0.025,l2,,0.6211468123006278,0.11983397009533858,0.8303820975697412,0.14390556475401928,0.6929046711440346,0.0652803263990131,0.7738469383582735,0.07644792849826944,0.7346939772077904,0.0602703914588038,0.21343203534136465,0.03859998467215808,0.6200342754842103,0.09268756854912025
0.05,l2,,0.6246205589621002,0.11787925846722719,0.8143745537897005,0.15795304404130808,0.6891842789506406,0.07418635008634515,0.7734002041195388,0.07957631114866565,0.7329588412240983,0.06114538750063656,0.2125745970581087,0.04012479757254894,0.6209997100830821,0.10095452558431631
0.01,l2,,0.6049398742616752,0.12678506161818714,0.8440635066963585,0.13672837048504025,0.6864079742605561,0.0689139472563543,0.7778430035128738,0.06733251746980504,0.7414534962889974,0.060297862378559226,0.2158481736640095,0.03698912459713796,0.6220821617214576,0.0842359166973248
1.0,l1,,0.6295764660479208,0.10923724484344165,0.8155775147679917,0.15482733810290486,0.6949064902037005,0.0723528454294769,0.7731262383989527,0.08142975376238523,0.7212138436166671,0.06837601522723435,0.21105864176874403,0.04141703133973309,0.6222834322454627,0.11267852388732505
0.1,l2,,0.6259637698024832,0.11191301462120488,0.8167786936569632,0.1559369235893222,0.6923880606341027,0.07316103309538992,0.7731111144326364,0.08116435279003104,0.7314483509181257,0.061963653785236064,0.2120971996864538,0.04122132264248516,0.6224490469758314,0.10797925191340882
1.0,elasticnet,0.85,0.6297369125076349,0.10903157665699638,0.8155775147679917,0.15482733810290486,0.6950419897165367,0.07224327102406451,0.7729391117278881,0.08162699661904978,0.7211110503329436,0.06856344363683545,0.21118736828344517,0.041552125536690715,0.6228364556998743,0.1133973111041041
1.0,elasticnet,0.5,0.6298013991378533,0.10885668996593781,0.8151899178687669,0.15444474545809597,0.6949914258349132,0.07202595856686733,0.7724816578926788,0.08218205521769811,0.7211481949691393,0.06858725082532753,0.2114693126626901,0.041865191726483834,0.624101473941551,0.11509979857802362
0.01,elasticnet,0.15,0.5902900780343123,0.13086630631951776,0.8755552565895017,0.12294035601904366,0.6856195323124519,0.0663925474795188,0.7875273141265907,0.054200509715888655,0.7494685616328475,0.052433975364126424,0.21797485100018238,0.03696341515019181,0.6241930510112235,0.08230903499691235
0.0075,l2,,0.5960321586271304,0.12776316493305115,0.847642499825317,0.13638236414802102,0.6816807167224089,0.07068398887203696,0.7789380233413941,0.06454091449659848,0.7441841669631329,0.05856816047734587,0.2172213990156205,0.036869544273390356,0.6243517202475213,0.08292077487958567
0.5,l2,,0.6312686295658236,0.10886105255849121,0.8161781042124774,0.1553811349651056,0.6957961958103891,0.07108759877228953,0.7720785808000068,0.0827897438404213,0.7228039002912388,0.06755962326374863,0.2118041095280938,0.04218933596872707,0.6251826389954893,0.11628427980498286
1.0,elasticnet,0.15,0.6303630407408886,0.10906108567724676,0.8151899178687669,0.15444474545809597,0.6951041004166244,0.07156426835518546,0.7720140413109909,0.08278318732726603,0.7211175406081061,0.06878071654385194,0.2116976143421466,0.042171643791322766,0.6252696194725667,0.11683993089306123
5.0,l1,,0.6294799793006594,0.10926774132911782,0.8151899178687669,0.15444474545809597,0.6947201378976997,0.07224411460958315,0.7717883813128257,0.08283783835299069,0.7190145947597435,0.07070678837012814,0.21166554990486275,0.04220647939727085,0.6256358392165726,0.11765817920722164
1.0,l2,,0.6303630407408886,0.10906108567724676,0.8151899178687669,0.15444474545809597,0.6951041004166244,0.07156426835518546,0.7718440155541278,0.08296514590138743,0.7210098132619227,0.0689391328075583,0.21179809011151987,0.04230236058095129,0.6257830007897137,0.11759383123288292
10.0,l1,,0.6294799793006594,0.10926774132911782,0.8151899178687669,0.15444474545809597,0.6947201378976997,0.07224411460958315,0.7716348347174297,0.08295142241413839,0.7186485627705831,0.07099254046813704,0.21173600051351843,0.04230759190852117,0.626062215260898,0.11831985828764746
10.0,elasticnet,0.85,0.6294799793006594,0.10926774132911782,0.8151899178687669,0.15444474545809597,0.6947201378976997,0.07224411460958315,0.7716588920019853,0.08290379346367474,0.7187780827714557,0.0708316536671149,0.21174647979131667,0.04232129541157718,0.6261155711639088,0.11839860896118785
10.0,elasticnet,0.5,0.6294799793006594,0.10926774132911782,0.8151899178687669,0.15444474545809597,0.6947201378976997,0.07224411460958315,0.7717141150991418,0.08283476314806672,0.7188322783987289,0.07078579637884781,0.21177136679725198,0.042353829574063424,0.6262411348506354,0.11858387047995551
5.0,l2,,0.6292691074068545,0.10945866322888141,0.8149769253235059,0.15427555445196972,0.6944771083275767,0.07223423191733888,0.7716805876902886,0.08286350973596697,0.7189966851133558,0.0707288820157415,0.21180496214669428,0.04238896927016387,0.6263442117521795,0.11870370585692083
10.0,elasticnet,0.15,0.6294290295317329,0.10925336116687943,0.8149769253235059,0.15427555445196972,0.6946123198499499,0.07212424723715125,0.7717022778894935,0.08283924772425981,0.7188693339634205,0.07083408752942981,0.21179596922246188,0.042385784558913,0.6263663428309763,0.1187681269605427
50.0,l1,,0.6294799793006594,0.10926774132911782,0.8151899178687669,0.15444474545809597,0.6947201378976997,0.07224411460958315,0.7716583347196566,0.08288079193787193,0.718546051482148,0.07113117720987185,0.21179391910672293,0.04238967855829632,0.6264098902129528,0.11885684276510951
10.0,l2,,0.6294290295317329,0.10925336116687943,0.8149769253235059,0.15427555445196972,0.6946123198499499,0.07212424723715125,0.771697350876463,0.08285686500075845,0.7188568520892701,0.07084703875127739,0.21180654155723183,0.04239947962912262,0.6264201348378777,0.11884719547710845
50.0,l2,,0.6294799793006594,0.10926774132911782,0.8151899178687669,0.15444474545809597,0.6947201378976997,0.07224411460958315,0.7716046809735394,0.0829385594276294,0.7184109991278154,0.0712580465334588,0.21180806382291065,0.04240801424388031,0.6264818461886289,0.11896267062204945
0.005,l2,,0.5919919588596423,0.1314372093256649,0.8591878935190815,0.134746133199363,0.6810665775110907,0.06833628670601113,0.7797517525051483,0.06062364843939736,0.746907674719596,0.05782632763225987,0.21993848795166837,0.03713487230987482,0.6294823919805219,0.0822711424311766
0.025,l1,,0.5892163774679343,0.1348610906571097,0.8882226785106877,0.12149529589119183,0.6878623453526924,0.06765998541837999,0.7827223140399193,0.05988496710097858,0.7445120826932351,0.057853149501503824,0.2218413511195812,0.04131306956433594,0.6310619441340946,0.0924241349888086
0.0025,l2,,0.57547044682672,0.14436556071229462,0.8829820373345868,0.13107642368719966,0.6732465684664999,0.07124743555371087,0.7793027548384553,0.05578672369932622,0.7473985805680643,0.05744165996992005,0.22715666961712083,0.03865257221375569,0.6442631657308215,0.08375996830876846
0.01,elasticnet,0.5,0.56761792871819,0.15088051765460364,0.9141080245611259,0.1304630704236101,0.6745375997924775,0.07432293389386023,0.7799343348985426,0.058859868554839,0.7444101351202015,0.05837346483018128,0.23248969986452866,0.044739398978822245,0.6540805814669591,0.09875848004632586
0.001,l2,,0.5570399405113486,0.15845383055685827,0.9233386907553671,0.13420535067516973,0.6661997606744214,0.07763045877644369,0.7769026143295324,0.05153192879734422,0.7470540024061508,0.055331298559599174,0.2415733420187729,0.041577376788070566,0.6748551709743362,0.08774437625189636
0.01,elasticnet,0.85,0.5567433559963423,0.16068303764428912,0.9244392545045118,0.13213250725833905,0.6663194048431145,0.08083904444804797,0.7625555070835013,0.07799990843773451,0.7291621053125988,0.072251403881174,0.24955159588129505,0.05503295883147501,0.6910697248827654,0.12108829566466733
0.0005,l2,,0.5482033106279987,0.16182466696764525,0.9377777777777778,0.12444444444444444,0.6638323926707955,0.08517891031495894,0.7746999073211428,0.04884709837758054,0.7456510594156321,0.05388540782231137,0.25436401078624643,0.04268395233726804,0.7025463359769845,0.08874256965406188
0.01,l1,,0.55564475733757,0.1617981159546409,0.927087461817256,0.12792323797133265,0.666651000917374,0.08229740394731018,0.7155359461545534,0.1293906405508418,0.6770593552774662,0.13220693724867483,0.25628446469526545,0.058765406543357025,0.7060022657922754,0.12905868878050444
0.0075,l1,,0.5512336685731952,0.165552023120097,0.9388888888888889,0.12222222222222223,0.6661101760461567,0.08606264480935165,0.6448576375565993,0.14241185616064755,0.5948356465819685,0.15423718825917912,0.2620443401436388,0.05945338519706137,0.7189041803765963,0.129441297477606
0.005,l1,,0.5466169153722895,0.15927714814465888,0.9411111111111111,0.11777777777777776,0.6650833525290738,0.08675335471232358,0.6450436606837988,0.14271629763932173,0.596862529330582,0.15740811585256642,0.2691705479934142,0.0609460283877693,0.7350372764349606,0.1309608891255585
0.001,elasticnet,0.15,0.5472869459786258,0.1604481878187279,0.9444444444444444,0.11111111111111112,0.6672902147689856,0.08925623679689565,0.6480988580641864,0.14078439606288343,0.6060299217357924,0.14662332488464688,0.2726804259531063,0.05402951172252642,0.7437739959816605,0.11371568518920899
0.0001,l2,,0.5099076568888374,0.10170964808468248,0.9766666666666666,0.046666666666666676,0.6615856749869617,0.08311289205550214,0.7708835158751497,0.044887686249795555,0.7428062844443383,0.051745920614427114,0.27892380215008206,0.037153913119425314,0.756379977755864,0.07744348312290084
